"code","timestamp","trade_timestamp","trade_price","trade_volume","ask_bid","prev_closing_price","change","change_price","sequential_id"
"KRW-BTC",1575565413375,1575565413000,8598000.0,0.00213612,"ASK",8515000.0,"RISE",83000.0,1575565413000000
"KRW-BTC",1575565413395,1575565413000,8597000.0,0.00232709,"ASK",8515000.0,"RISE",82000.0,1575565413000001
"KRW-BTC",1575565413405,1575565413000,8597000.0,0.01351794,"ASK",8515000.0,"RISE",82000.0,1575565413000002
"KRW-BCH",1575565413756,1575565413000,245700.0,5.4,"ASK",244300.0,"RISE",1400.0,1575565413000000
"KRW-BCH",1575565413975,1575565413000,245700.0,49.67740698,"ASK",244300.0,"RISE",1400.0,1575565413000001
"KRW-BCH",1575565414006,1575565413000,245500.0,0.15,"ASK",244300.0,"RISE",1200.0,1575565413000002
"KRW-ETH",1575565414502,1575565414000,172450.0,0.152218,"ASK",171650.0,"RISE",800.0,1575565414000000
"KRW-ETH",1575565414535,1575565414000,172450.0,0.152218,"ASK",171650.0,"RISE",800.0,1575565414000001
"KRW-BCH",1575565414834,1575565414000,245300.0,2.68213061,"ASK",244300.0,"RISE",1000.0,1575565414000000
"KRW-BTC",1575565415216,1575565413000,8597000.0,0.06214759,"ASK",8515000.0,"RISE",82000.0,1575565413000003
"KRW-BTC",1575565415287,1575565413000,8597000.0,0.00012,"ASK",8515000.0,"RISE",82000.0,1575565413000004
"KRW-BTC",1575565415299,1575565413000,8597000.0,0.00192263,"ASK",8515000.0,"RISE",82000.0,1575565413000005
"KRW-BTC",1575565415306,1575565415000,8591000.0,0.624,"ASK",8515000.0,"RISE",76000.0,1575565415000000
"KRW-BTC",1575565415311,1575565413000,8597000.0,0.01,"ASK",8515000.0,"RISE",82000.0,1575565413000006
"KRW-BTC",1575565415322,1575565414000,8596000.0,0.00138052,"ASK",8515000.0,"RISE",81000.0,1575565414000000
"KRW-BTC",1575565415335,1575565414000,8596000.0,0.00012,"ASK",8515000.0,"RISE",81000.0,1575565414000001
"KRW-BTC",1575565415347,1575565414000,8596000.0,0.03003,"ASK",8515000.0,"RISE",81000.0,1575565414000002
"KRW-BTC",1575565415358,1575565414000,8596000.0,0.02003558,"ASK",8515000.0,"RISE",81000.0,1575565414000003
"KRW-BTC",1575565415370,1575565414000,8596000.0,0.00173047,"ASK",8515000.0,"RISE",81000.0,1575565414000004
"KRW-BTC",1575565415382,1575565414000,8596000.0,0.00389335,"ASK",8515000.0,"RISE",81000.0,1575565414000005
"KRW-BTC",1575565415394,1575565414000,8595000.0,0.00169816,"ASK",8515000.0,"RISE",80000.0,1575565414000006
"KRW-BTC",1575565415406,1575565414000,8595000.0,0.00012,"ASK",8515000.0,"RISE",80000.0,1575565414000007
"KRW-BTC",1575565415417,1575565414000,8595000.0,0.001,"ASK",8515000.0,"RISE",80000.0,1575565414000008
"KRW-BTC",1575565415430,1575565414000,8595000.0,0.00581733,"ASK",8515000.0,"RISE",80000.0,1575565414000009
"KRW-BTC",1575565415443,1575565414000,8595000.0,0.00583973,"ASK",8515000.0,"RISE",80000.0,1575565414000010
"KRW-BTC",1575565415468,1575565415000,8594000.0,0.00012,"ASK",8515000.0,"RISE",79000.0,1575565415000001
"KRW-BTC",1575565415477,1575565414000,8594000.0,0.00095502,"ASK",8515000.0,"RISE",79000.0,1575565414000011
"KRW-BTC",1575565415480,1575565415000,8594000.0,0.00291878,"ASK",8515000.0,"RISE",79000.0,1575565415000002
"KRW-XRP",1575565415814,1575565415000,255.0,9.63661892,"ASK",253.0,"RISE",2.0,1575565415000000
"KRW-BTC",1575565415911,1575565414000,8593000.0,0.00127371,"ASK",8515000.0,"RISE",78000.0,1575565414000012
"KRW-BTC",1575565415924,1575565414000,8593000.0,0.00012,"ASK",8515000.0,"RISE",78000.0,1575565414000013
"KRW-BTC",1575565415935,1575565414000,8593000.0,0.01848207,"ASK",8515000.0,"RISE",78000.0,1575565414000014
"KRW-BTC",1575565415945,1575565414000,8592000.0,0.00077665,"ASK",8515000.0,"RISE",77000.0,1575565414000015
"KRW-BTC",1575565415958,1575565415000,8592000.0,0.00012,"ASK",8515000.0,"RISE",77000.0,1575565415000003
"KRW-BTC",1575565415969,1575565415000,8592000.0,0.01386085,"ASK",8515000.0,"RISE",77000.0,1575565415000004
"KRW-BTC",1575565415980,1575565415000,8591000.0,0.00053721,"ASK",8515000.0,"RISE",76000.0,1575565415000005
"KRW-BTC",1575565415993,1575565415000,8591000.0,0.11640088,"ASK",8515000.0,"RISE",76000.0,1575565415000006
"KRW-BTC",1575565416003,1575565415000,8591000.0,0.14489193,"ASK",8515000.0,"RISE",76000.0,1575565415000007
"KRW-BTC",1575565416016,1575565415000,8591000.0,0.00012,"ASK",8515000.0,"RISE",76000.0,1575565415000008
"KRW-BTC",1575565416037,1575565415000,8591000.0,0.2034167,"ASK",8515000.0,"RISE",76000.0,1575565415000009
"KRW-BTC",1575565416145,1575565415000,8591000.0,0.49822707,"ASK",8515000.0,"RISE",76000.0,1575565415000010
"KRW-BTC",1575565416177,1575565415000,8591000.0,0.01039512,"ASK",8515000.0,"RISE",76000.0,1575565415000011
"KRW-BTC",1575565416189,1575565415000,8590000.0,0.00040288,"ASK",8515000.0,"RISE",75000.0,1575565415000012
"KRW-BTC",1575565416204,1575565415000,8590000.0,0.00331455,"ASK",8515000.0,"RISE",75000.0,1575565415000013
"KRW-BTC",1575565416214,1575565415000,8590000.0,0.02328289,"ASK",8515000.0,"RISE",75000.0,1575565415000014
"KRW-BTC",1575565416228,1575565415000,8590000.0,0.05486204,"ASK",8515000.0,"RISE",75000.0,1575565415000015
"KRW-BTC",1575565416240,1575565415000,8590000.0,0.00012,"ASK",8515000.0,"RISE",75000.0,1575565415000016
"KRW-BTC",1575565416252,1575565416000,8590000.0,0.02,"ASK",8515000.0,"RISE",75000.0,1575565416000000
"KRW-BTC",1575565416465,1575565416000,8580000.0,0.03725989,"ASK",8515000.0,"RISE",65000.0,1575565416000001
"KRW-BTC",1575565416912,1575565415000,8589000.0,0.00030215,"ASK",8515000.0,"RISE",74000.0,1575565415000017
"KRW-BTC",1575565416940,1575565415000,8589000.0,0.00012,"ASK",8515000.0,"RISE",74000.0,1575565415000018
"KRW-BTC",1575565416953,1575565415000,8588000.0,0.00012,"ASK",8515000.0,"RISE",73000.0,1575565415000019
"KRW-BTC",1575565416964,1575565415000,8587000.0,0.00012,"ASK",8515000.0,"RISE",72000.0,1575565415000020
"KRW-BTC",1575565416974,1575565415000,8586000.0,0.11646866,"ASK",8515000.0,"RISE",71000.0,1575565415000021
"KRW-BTC",1575565416987,1575565415000,8586000.0,0.00012,"ASK",8515000.0,"RISE",71000.0,1575565415000022
"KRW-BTC",1575565416998,1575565415000,8586000.0,0.00116468,"ASK",8515000.0,"RISE",71000.0,1575565415000023
"KRW-BTC",1575565417009,1575565415000,8585000.0,0.00012,"ASK",8515000.0,"RISE",70000.0,1575565415000024
"KRW-BTC",1575565417023,1575565416000,8585000.0,0.001,"ASK",8515000.0,"RISE",70000.0,1575565416000002
"KRW-BTC",1575565417032,1575565416000,8584000.0,0.1165,"ASK",8515000.0,"RISE",69000.0,1575565416000003
"KRW-BTC",1575565417045,1575565416000,8584000.0,0.00012,"ASK",8515000.0,"RISE",69000.0,1575565416000004
"KRW-BTC",1575565417055,1575565416000,8583000.0,0.00011662,"ASK",8515000.0,"RISE",68000.0,1575565416000005
"KRW-BTC",1575565417069,1575565416000,8583000.0,0.00012,"ASK",8515000.0,"RISE",68000.0,1575565416000006
